name,lat,lon,darkness_value,falchi_category,reachable_from_city,addr_city
Krásná Máří,50.8524,15.182,0.13954967260360718,Modrá (Mírné znečištění),Liberec,Unknown
Tolštejn,50.8569,14.5817,0.13970156013965607,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8322,14.6501,0.12811818718910217,Modrá (Mírné znečištění),Liberec,Unknown
Holubník,50.8407,15.1835,0.1348344385623932,Modrá (Mírné znečištění),Liberec,Unknown
Ptačí kupy,50.847,15.1737,0.14267100393772125,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8206,14.4624,0.129509836435318,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8081,14.7466,0.14146754145622253,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8307,15.2216,0.12352669984102249,Modrá (Mírné znečištění),Liberec,Unknown
Čertův odpočinek,50.8245,15.213,0.13225889205932617,Modrá (Mírné znečištění),Liberec,Unknown
Šikmá věž,50.4629,15.2904,0.14626269042491913,Modrá (Mírné znečištění),Liberec,Unknown
Pechova vyhlídka,50.4667,15.2868,0.14626269042491913,Modrá (Mírné znečištění),Liberec,Unknown
vyhlídka Míru,50.4666,15.2912,0.14626269042491913,Modrá (Mírné znečištění),Liberec,Unknown
vyhlídka Českého ráje,50.4667,15.2897,0.14626269042491913,Modrá (Mírné znečištění),Liberec,Unknown
Hlaholská vyhlídka,50.467,15.2957,0.15158526599407196,Modrá (Mírné znečištění),Liberec,Unknown
Všetečkova vyhlídka,50.4677,15.2906,0.14626269042491913,Modrá (Mírné znečištění),Liberec,Unknown
Vyhlídka pražského pěveckého sboru Křížkovský,50.4664,15.2992,0.15158526599407196,Modrá (Mírné znečištění),Liberec,Unknown
Hradčanská vyhlídka,50.6179,14.6976,0.1396275758743286,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.747,15.3657,0.14017432928085327,Modrá (Mírné znečištění),Liberec,Unknown
Bílá skála,50.7396,15.3753,0.13165071606636047,Modrá (Mírné znečištění),Liberec,Unknown
BOROVSKÉ SKÁLY,50.731,15.4057,0.130785271525383,Modrá (Mírné znečištění),Liberec,Unknown
Na Čihadle,50.833,15.2316,0.12014786899089813,Modrá (Mírné znečištění),Liberec,Unknown
Skalní vyhlídka,50.7504,15.3758,0.12804517149925232,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.8245,15.1667,0.1577683836221695,Modrá (Mírné znečištění),Liberec,Unknown
Unnamed POI,50.539,14.7201,0.13940474390983582,Modrá (Mírné znečištění),Liberec,Unknown
Vyhlídka Liška,50.7199,15.4489,0.12245185673236847,Modrá (Mírné znečištění),Liberec,Unknown
Výhled na Štěpánku,50.7619,15.3618,0.13869032263755798,Modrá (Mírné znečištění),Liberec,Unknown
